CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
50048566,OCEAN BAGELS,QUEENS,160,BEACH 116TH ST,11694,7183180329,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50039348,LILLIES RESTAURANT & BAR,STATEN ISLAND,290,WILD AVE,10314,9175088212,Mediterranean,1/1/1900,,,Not Applicable,,,,4/25/2016,
50044508,PASQUALE JONES,MANHATTAN,86,KENMARE ST,10012,3035528895,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50047973,TAKOYAKI BAR,MANHATTAN,366,W 52ND ST,10019,9175979987,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50048274,,BROOKLYN,351,NEW LOTS AVE,11207,7186491622,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50047297,,MANHATTAN,112,E 23RD ST,10010,9175360443,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50048206,,Missing,27328,SPECTRUM WAY,77385,,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50049310,"SCHOLASTIC, INC",MANHATTAN,577,BROADWAY,10012,2123436191,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50046381,,BROOKLYN,1801,BROADWAY,11207,,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50047847,,STATEN ISLAND,1419,FOREST AVE,10302,7189818189,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50047555,SQUARESPACE,MANHATTAN,225,VARICK ST,10014,2037332617,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50045837,,BROOKLYN,2178,BEDFORD AVE,11226,7182622400,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50047509,FILLMORE DELICATESSEN,MANHATTAN,1668,3RD AVE,10128,6469129488,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50047842,,STATEN ISLAND,79,HOWARD AVE,10301,7184206040,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50047590,STUDIO TEN,BROOKLYN,566,NOSTRAND AVE,11216,3474490298,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50049004,,MANHATTAN,310,E 44TH ST,10017,2125990010,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50047127,,MANHATTAN,711,2ND AVE,10016,2129730885,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50049329,,STATEN ISLAND,416,JERSEY ST,10301,6463393077,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50048976,TONYS CAFE,BRONX,211,W 231ST ST,10463,6468725028,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50049046,,QUEENS,15412,ROCKAWAY BLVD,11434,7189490900,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50045777,,QUEENS,8655,BROADWAY,11373,7187519898,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50048233,LOTTE NEW YORK PALACE EMPLOYEE CAFE,MANHATTAN,455,MADISON AVE,10022,6463156897,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50041596,LA ROSA CHICKEN & GRILL,MANHATTAN,612,8TH AVE,10018,7327400949,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50047195,,MANHATTAN,2096,5TH AVE,10035,2128607777,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50046715,GENTILLY,MANHATTAN,64,CARMINE ST,10014,9173534006,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50049219,,QUEENS,13621,ROOSEVELT AVE,11354,9173531150,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50047798,,QUEENS,25114,HILLSIDE AVE,11426,7189622200,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50044744,AMERIGO,QUEENS,4464,21ST ST,11101,9172157642,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50044061,THE VILLAGE GREEN,QUEENS,1417,150TH ST,11357,7186000882,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50047773,,BROOKLYN,438,UTICA AVE,11213,3478377471,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50047510,JUICE PRESS,MANHATTAN,830,3RD AVE,10022,2123889539,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50043560,,QUEENS,9031,37TH AVE,11372,9174031414,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50042418,CHILPANCINGO RESTAURANT,BRONX,366A,E 204TH ST,10467,3479126392,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50032966,DUNKIN' DONUTS,MANHATTAN,625,8TH AVE,10018,2015282436,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50046751,NEW WELL BEING KOREA,QUEENS,13620,ROOSEVELT AVE,11354,7183213008,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50048540,LES CAFES LACOLOMBE,MANHATTAN,154,PRINCE ST,10012,2122856170,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50049009,RESTAURANT ASSOCIATES LLC,MANHATTAN,42,BROADWAY,10004,3477582694,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50049020,,MANHATTAN,2041,BROADWAY,10023,2125803410,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50049328,,MANHATTAN,188,E 104TH ST,10029,2127499262,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50048336,MC DONALDS,QUEENS,9015,QUEENS BLVD,11373,718 271 2032,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50048264,PLATE,QUEENS,4318,MAIN ST,11355,9143166543,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50047614,,BROOKLYN,3149,FULTON ST,11208,7182352819,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50047128,,MANHATTAN,67,WALL ST,10005,9175620005,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50046954,SHAKE SHACK,MANHATTAN,200,BROADWAY,10038,,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50048217,Bd J EXPRESS,MANHATTAN,1000S,8TH AVE,10019,6468633961,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50048772,,MANHATTAN,2143,7TH AVE,10027,6468517900,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50045403,TRACKSIDE CAFE,STATEN ISLAND,625,FATHER CAPODANNO BLVD,10305,7188015465,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50047579,JUICE PRESS,MANHATTAN,1296,MADISON AVE,10128,2123889539,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
50047046,,MANHATTAN,36,WATER ST,10004,9175360443,Other,1/1/1900,,,Not Applicable,,,,4/25/2016,
