CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
50033094,SOFITEL NEW YORK,MANHATTAN,45,W 44TH ST,10036,2123548844,American,4/13/2016,Violations were cited in the following area(s).,10F,Not Critical,12,A,4/13/2016,4/25/2016,Cycle Inspection / Initial Inspection
41637006,GIUSEPPES PIZZA,MANHATTAN,341,LEXINGTON AVENUE,10016,2126834721,Pizza/Italian,2/22/2016,Violations were cited in the following area(s).,10F,Not Critical,13,A,2/22/2016,4/25/2016,Cycle Inspection / Re-inspection
41697777,BRASSERIE MAGRITTE,MANHATTAN,1463,THIRD AVENUE,10028,6464490606,French,2/16/2016,Violations were cited in the following area(s).,02B,Critical,11,A,2/16/2016,4/25/2016,Cycle Inspection / Re-inspection
40686674,ZARO'S BAKERY,MANHATTAN,370,LEXINGTON AVENUE,10017,2122920174,Bakery,2/8/2016,Violations were cited in the following area(s).,10I,Not Critical,7,A,2/8/2016,4/25/2016,Cycle Inspection / Initial Inspection
41658460,CHEVYS FRESH MEX,MANHATTAN,243,WEST   42 STREET,10036,2123024010,Mexican,4/18/2016,Violations were cited in the following area(s).,10F,Not Critical,9,A,4/18/2016,4/25/2016,Cycle Inspection / Re-inspection
50034970,MILK N' HONEY,MANHATTAN,22,W 45TH ST,10036,2127644400,Jewish/Kosher,3/11/2016,Violations were cited in the following area(s).,06C,Critical,5,A,3/11/2016,4/25/2016,Cycle Inspection / Re-inspection
41241757,THAI MARKET,MANHATTAN,960,AMSTERDAM AVENUE,10025,2122804575,Thai,2/24/2016,Violations were cited in the following area(s).,06C,Critical,7,A,2/24/2016,4/25/2016,Cycle Inspection / Re-inspection
41313471,"DUNKIN' DONUTS, BASKIN ROBBINS",MANHATTAN,745,2 AVENUE,10016,2126812482,Donuts,1/28/2016,Violations were cited in the following area(s).,10F,Not Critical,12,A,1/28/2016,4/25/2016,Cycle Inspection / Initial Inspection
50007913,KING'S CHEF CHINESE RESTAURANT,MANHATTAN,587,MALCOLM X BLVD,10037,2122816688,Chinese,1/6/2016,Violations were cited in the following area(s).,06C,Critical,13,A,1/6/2016,4/25/2016,Cycle Inspection / Initial Inspection
50044001,BALLY TOTAL FITNESS,MANHATTAN,1915,3RD AVE,10029,2123693063,"Juice, Smoothies, Fruit Salads",1/26/2016,Violations were cited in the following area(s).,06D,Critical,9,A,1/26/2016,4/25/2016,Pre-permit (Operational) / Re-inspection
41486500,RABBITS,MANHATTAN,142,SULLIVAN STREET,10012,2122285141,Caf̩/Coffee/Tea,1/15/2016,Violations were cited in the following area(s).,10B,Not Critical,9,A,1/15/2016,4/25/2016,Cycle Inspection / Initial Inspection
