CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41402635,ALDEA RESTAURANT,MANHATTAN,31,WEST   17 STREET,10011,2126757223,Portuguese,3/17/2016,Violations were cited in the following area(s).,09C,Not Critical,10,A,3/17/2016,4/25/2016,Cycle Inspection / Re-inspection
50033339,BITE Of HONG KONG,MANHATTAN,81,CHRYSTIE ST,10002,9176601103,Chinese,4/7/2016,Violations were cited in the following area(s).,10B,Not Critical,12,A,4/7/2016,4/25/2016,Cycle Inspection / Re-inspection
50016760,BUTTERCUP BAKE SHOP,MANHATTAN,973,2ND AVE,10022,2123504144,Bakery,3/9/2016,Violations were cited in the following area(s).,04L,Critical,15,B,3/9/2016,4/25/2016,Cycle Inspection / Re-inspection
41289775,BLOCKHEADS BURRITOS,MANHATTAN,951,AMSTERDAM AVENUE,10025,2126628226,Tex-Mex,3/22/2016,Violations were cited in the following area(s).,06C,Critical,10,A,3/22/2016,4/25/2016,Cycle Inspection / Initial Inspection
50033462,BARRYS BOOTCAMP,MANHATTAN,135,W 20TH ST,10011,6465592721,"Juice, Smoothies, Fruit Salads",4/15/2016,Violations were cited in the following area(s).,10H,Not Critical,4,A,4/15/2016,4/25/2016,Cycle Inspection / Initial Inspection
41709714,STARBUCKS,MANHATTAN,655,WEST   34 STREET,10001,2122162404,Caf̩/Coffee/Tea,4/15/2016,Violations were cited in the following area(s).,06A,Critical,8,A,4/15/2016,4/25/2016,Cycle Inspection / Initial Inspection
50001761,GOOD CENTURY CAFE,MANHATTAN,243,GRAND STREET,10002,2123341313,Chinese,1/5/2016,Violations were cited in the following area(s).,06C,Critical,11,A,1/5/2016,4/25/2016,Cycle Inspection / Initial Inspection
40393378,E.J LUNCHEONETTE,MANHATTAN,1271,THIRD AVENUE,10021,2124720600,American,2/2/2016,Violations were cited in the following area(s).,04N,Critical,5,A,2/2/2016,4/25/2016,Cycle Inspection / Re-inspection
50046050,MUGHLAI INDIAN CUISINE,MANHATTAN,1724,2ND AVE,10128,2127226262,Indian,4/5/2016,Violations were cited in the following area(s).,10F,Not Critical,9,A,4/5/2016,4/25/2016,Pre-permit (Operational) / Initial Inspection
41418301,THE SMILE,MANHATTAN,26,BOND STREET,10012,6463295836,Mediterranean,2/1/2016,Violations were cited in the following area(s).,06D,Critical,10,A,2/1/2016,4/25/2016,Cycle Inspection / Re-inspection
50044724,NEW KIM TONG,MANHATTAN,1722,AMSTERDAM AVE,10031,2124910825,Chinese,3/7/2016,Violations were cited in the following area(s).,06D,Critical,34,C,3/7/2016,4/25/2016,Pre-permit (Operational) / Re-inspection
50007925,TESSA,MANHATTAN,349,AMSTERDAM AVE,10024,2123901974,Mediterranean,1/21/2016,Violations were cited in the following area(s).,08A,Not Critical,12,A,1/21/2016,4/25/2016,Cycle Inspection / Initial Inspection
40721121,GREENWICH VILLAGE BISTRO,MANHATTAN,13,CARMINE STREET,10014,2122069777,American,2/16/2016,Violations were cited in the following area(s).,06C,Critical,10,A,2/16/2016,4/25/2016,Cycle Inspection / Initial Inspection
41428543,SCHNITZEL EXPRESS,MANHATTAN,1410,BROADWAY,10018,2129977770,Jewish/Kosher,3/1/2016,Violations were cited in the following area(s).,06D,Critical,13,A,3/1/2016,4/25/2016,Cycle Inspection / Re-inspection
50018460,ORTIZ RESTAURANT,MANHATTAN,2011,AMSTERDAM AVE,10032,9176756691,Spanish,1/7/2016,Violations were cited in the following area(s).,09B,Not Critical,66,C,1/7/2016,4/25/2016,Pre-permit (Operational) / Re-inspection
50008222,RED MANGO,MANHATTAN,906,2ND AVE,10017,9177052627,Caf̩/Coffee/Tea,4/8/2016,Violations were cited in the following area(s).,10B,Not Critical,36,Z,4/8/2016,4/25/2016,Cycle Inspection / Re-inspection
50018281,IBIS,MANHATTAN,151,E 50TH ST,10022,2127021612,Mediterranean,3/21/2016,Violations were cited in the following area(s).,08A,Not Critical,27,B,3/21/2016,4/25/2016,Cycle Inspection / Re-inspection
40715364,STARBUCKS,MANHATTAN,665,BROADWAY,10012,9175340799,Caf̩/Coffee/Tea,1/11/2016,Violations were cited in the following area(s).,10F,Not Critical,4,A,1/11/2016,4/25/2016,Cycle Inspection / Initial Inspection
41290548,STARBUCKS,MANHATTAN,14,WEST 23 STREET,10010,2123672050,Caf̩/Coffee/Tea,4/4/2016,Violations were cited in the following area(s).,10F,Not Critical,4,A,4/4/2016,4/25/2016,Cycle Inspection / Initial Inspection
50000853,TASTY DELI,MANHATTAN,4020,BROADWAY,10032,2129230700,American,1/7/2016,Violations were cited in the following area(s).,08A,Not Critical,10,A,1/7/2016,4/25/2016,Cycle Inspection / Re-inspection
40681411,JOE'S SHANGHAI RESTAURANT,MANHATTAN,24,WEST   56 STREET,10019,2123333868,Chinese,2/10/2016,Violations were cited in the following area(s).,02B,Critical,17,B,2/10/2016,4/25/2016,Cycle Inspection / Re-inspection
50008187,SALUD Y ESPERANZA,MANHATTAN,2135,2ND AVE,10029,9173329099,Spanish,4/18/2016,Violations were cited in the following area(s).,10F,Not Critical,3,A,4/18/2016,4/25/2016,Cycle Inspection / Initial Inspection
50044152,BANK OF NEW YORK EMPL DINING ROOM,MANHATTAN,225,LIBERTY ST,10281,2126358554,American,2/8/2016,Violations were cited in the following area(s).,10E,Not Critical,11,A,2/8/2016,4/25/2016,Pre-permit (Operational) / Initial Inspection
50039585,THE DOUGHNUT PROJECT,MANHATTAN,10,MORTON ST,10014,2126915000,Donuts,1/22/2016,Violations were cited in the following area(s).,06D,Critical,5,A,1/22/2016,4/25/2016,Cycle Inspection / Initial Inspection
40815605,CHOP'T,MANHATTAN,24,EAST   17 STREET,10003,6463365523,Salads,1/29/2016,Violations were cited in the following area(s).,08A,Not Critical,13,A,1/29/2016,4/25/2016,Cycle Inspection / Initial Inspection
50009019,JUST SALAD,MANHATTAN,1306,1ST AVE,10021,2122441111,Salads,3/15/2016,Violations were cited in the following area(s).,02G,Critical,11,A,3/15/2016,4/25/2016,Cycle Inspection / Initial Inspection
41639194,KEUR COUMBA RESTAURANT,MANHATTAN,125,WEST  116 STREET,10026,2128663900,African,3/7/2016,Violations were cited in the following area(s).,06C,Critical,16,B,3/7/2016,4/25/2016,Cycle Inspection / Re-inspection
50002491,AGORA TURKISH RESTAURANT,MANHATTAN,1565,SECOND AVENUE,10028,2127171220,Turkish,2/29/2016,Violations were cited in the following area(s).,09B,Not Critical,5,A,2/29/2016,4/25/2016,Cycle Inspection / Initial Inspection
41161706,YI MEI YUM GOURMET,MANHATTAN,51,DIVISION STREET,10002,3475853588,Chinese,3/23/2016,Violations were cited in the following area(s).,10F,Not Critical,9,A,3/23/2016,4/25/2016,Cycle Inspection / Initial Inspection
50002615,THE NUGGET SPOT,MANHATTAN,230,EAST 14 STREET,10003,6464227346,Chicken,1/14/2016,Violations were cited in the following area(s).,10I,Not Critical,14,B,1/14/2016,4/25/2016,Cycle Inspection / Re-inspection
50044718,BAR,MANHATTAN,4,PENN PLZ,10121,2124656270,American,3/24/2016,Violations were cited in the following area(s).,,Not Applicable,0,A,3/24/2016,4/25/2016,Pre-permit (Operational) / Initial Inspection
41697373,HARDWARE BAR,MANHATTAN,697,10 AVENUE,10036,2129249885,American,1/6/2016,Violations were cited in the following area(s).,04H,Critical,7,A,1/6/2016,4/25/2016,Cycle Inspection / Re-inspection
41073604,BIG BOOTY BREAD,MANHATTAN,261,WEST   23 STREET,10011,2124143056,Bakery,4/1/2016,Violations were cited in the following area(s).,06A,Critical,10,A,4/1/2016,4/25/2016,Cycle Inspection / Initial Inspection
41373304,MING'S RESTAURANT,MANHATTAN,413415,9 AVENUE,10001,2128681378,Chinese,3/22/2016,Violations were cited in the following area(s).,06C,Critical,23,Z,3/22/2016,4/25/2016,Cycle Inspection / Re-inspection
41714341,PLANET HOLLYWOOD,MANHATTAN,1540,BROADWAY,10036,2123337827,American,1/7/2016,Violations were cited in the following area(s).,10F,Not Critical,11,A,1/7/2016,4/25/2016,Cycle Inspection / Initial Inspection
50018025,SUBWAY,MANHATTAN,29,E 8TH ST,10003,3472681222,Sandwiches,1/12/2016,Violations were cited in the following area(s).,10F,Not Critical,6,A,1/12/2016,4/25/2016,Cycle Inspection / Initial Inspection
40424906,MANNA HOUSE BAKERY,MANHATTAN,87,EAST BROADWAY,10002,2122676200,Bakery,2/1/2016,Violations were cited in the following area(s).,06C,Critical,11,A,2/1/2016,4/25/2016,Cycle Inspection / Re-inspection
41312239,OKA SUSHI,MANHATTAN,1618,MAIDEN LANE,10038,2127668805,Japanese,3/25/2016,Violations were cited in the following area(s).,06D,Critical,21,Z,3/25/2016,4/25/2016,Cycle Inspection / Re-inspection
41685696,MAISON KAYSER,MANHATTAN,1294,3 AVENUE,10021,2127443100,French,1/8/2016,Violations were cited in the following area(s).,10F,Not Critical,5,A,1/8/2016,4/25/2016,Cycle Inspection / Re-inspection
40402709,METROPOLITAN MUSEUM EMPLOYEE CAFETERIA,MANHATTAN,1000,5 AVENUE,10028,2126502907,American,4/8/2016,Violations were cited in the following area(s).,10F,Not Critical,3,A,4/8/2016,4/25/2016,Cycle Inspection / Initial Inspection
41619900,GREGORY'S COFFEE,MANHATTAN,12,EAST   46 STREET,10017,2126611722,Caf̩/Coffee/Tea,2/12/2016,Violations were cited in the following area(s).,06E,Critical,31,C,2/12/2016,4/25/2016,Cycle Inspection / Re-inspection
41574121,ZIO,MANHATTAN,17,WEST   19 STREET,10011,2123521700,Italian,4/7/2016,Violations were cited in the following area(s).,10H,Not Critical,12,A,4/7/2016,4/25/2016,Cycle Inspection / Initial Inspection
41473011,MACCHIATO ESPRESSO BAR,MANHATTAN,666,5 AVENUE,10019,2122626600,Caf̩/Coffee/Tea,2/8/2016,Violations were cited in the following area(s).,10H,Not Critical,9,A,2/8/2016,4/25/2016,Cycle Inspection / Initial Inspection
41717461,EL TORO MEXICAN GRILL,MANHATTAN,69,NEW STREET,10004,2123633900,Mexican,3/18/2016,Violations were cited in the following area(s).,10F,Not Critical,4,A,3/18/2016,4/25/2016,Cycle Inspection / Initial Inspection
41614732,STARBUCKS COFFEE,MANHATTAN,695,PARK AVENUE,10065,2127724281,Caf̩/Coffee/Tea,1/13/2016,Violations were cited in the following area(s).,04L,Critical,17,B,1/13/2016,4/25/2016,Cycle Inspection / Re-inspection
40391531,TEA AND SYMPATHY,MANHATTAN,108,GREENWICH AVENUE,10011,2129899735,English,4/6/2016,Violations were cited in the following area(s).,10F,Not Critical,13,A,4/6/2016,4/25/2016,Cycle Inspection / Initial Inspection
40951165,MOONCAKE FOODS,MANHATTAN,28,WATTS STREET,10013,2122198888,Asian,1/12/2016,Violations were cited in the following area(s).,02G,Critical,26,B,1/12/2016,4/25/2016,Cycle Inspection / Re-inspection
41657460,RESTAURANT SAN CRISTOBAL,MANHATTAN,339,EAST  108 STREET,10029,2128283644,Mexican,2/17/2016,Violations were cited in the following area(s).,09B,Not Critical,13,A,2/17/2016,4/25/2016,Cycle Inspection / Initial Inspection
50036654,JEFFERIES CAFE (5th Floor),MANHATTAN,520,MADISON AVE,10022,2127385582,American,1/14/2016,Violations were cited in the following area(s).,09C,Not Critical,9,A,1/14/2016,4/25/2016,Pre-permit (Operational) / Initial Inspection
41011653,MOZZARELLI'S,MANHATTAN,38,EAST   23 STREET,10010,2124756777,Italian,4/21/2016,Violations were cited in the following area(s).,10J,Not Critical,11,A,4/21/2016,4/25/2016,Cycle Inspection / Re-inspection
41348682,SOPHIE'S CUBAN CUISINE,MANHATTAN,28,EAST   23 STREET,10010,2122608884,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/9/2016,Violations were cited in the following area(s).,10F,Not Critical,11,A,3/9/2016,4/25/2016,Cycle Inspection / Initial Inspection
50043241,KRISPY KRUNCHY CHICKEN,MANHATTAN,2534,FREDERICK DOUGLASS BLVD,10030,2122343110,Chicken,2/16/2016,Violations were cited in the following area(s).,08A,Not Critical,16,B,2/16/2016,4/25/2016,Pre-permit (Operational) / Re-inspection
50015239,MELT KRAFT,MANHATTAN,101,MACDOUGAL ST,10012,2123801275,Sandwiches,2/1/2016,Violations were cited in the following area(s).,04A,Critical,24,B,2/1/2016,4/25/2016,Cycle Inspection / Re-inspection
40510827,TAJIN RESTAURANT,MANHATTAN,85,GREENWICH STREET,10006,2125095017,Mexican,1/6/2016,Violations were cited in the following area(s).,06E,Critical,10,A,1/6/2016,4/25/2016,Cycle Inspection / Initial Inspection
41690457,TAVOLA,MANHATTAN,488,9 AVENUE,10018,2122731181,Italian,1/5/2016,Violations were cited in the following area(s).,04L,Critical,32,A,1/5/2016,4/25/2016,Cycle Inspection / Re-inspection
41063983,BETEL PARTY SUPPLY BAKERY,MANHATTAN,74,SHERMAN AVENUE,10040,2129428200,Bakery,2/26/2016,Violations were cited in the following area(s).,06D,Critical,9,A,2/26/2016,4/25/2016,Cycle Inspection / Initial Inspection
40799056,ABIGAEL'S ON BROADWAY,MANHATTAN,1407,BROADWAY,10018,2125751407,Jewish/Kosher,2/4/2016,Violations were cited in the following area(s).,08A,Not Critical,11,A,2/4/2016,4/25/2016,Cycle Inspection / Re-inspection
50018023,RED STIXS,MANHATTAN,216,E 49TH ST,10017,6469645878,Chinese,2/22/2016,Violations were cited in the following area(s).,06A,Critical,27,Z,2/22/2016,4/25/2016,Cycle Inspection / Re-inspection
41653176,JOE COFFEE,MANHATTAN,131,WEST   21 STREET,10011,2129247400,Caf̩/Coffee/Tea,2/17/2016,Violations were cited in the following area(s).,04H,Critical,10,A,2/17/2016,4/25/2016,Cycle Inspection / Initial Inspection
50038914,HARLEM NIGHTS,MANHATTAN,2361,7TH AVE,10030,4136950608,American,1/12/2016,Violations were cited in the following area(s).,06D,Critical,11,A,1/12/2016,4/25/2016,Pre-permit (Operational) / Initial Inspection
41292528,A TASTE OF SEA FOOD,MANHATTAN,59,EAST  125 STREET,10035,2128315584,Seafood,2/17/2016,Violations were cited in the following area(s).,10F,Not Critical,26,B,2/17/2016,4/25/2016,Cycle Inspection / Re-inspection
41351226,HUGHES TAVERN,MANHATTAN,1682,1 AVENUE,10128,6462587638,American,3/9/2016,Violations were cited in the following area(s).,08A,Not Critical,11,A,3/9/2016,4/25/2016,Cycle Inspection / Initial Inspection
40634730,NEW YORK UNIVERSITY - COURTYARD CAFE,MANHATTAN,75,3 AVENUE,10003,2129953010,American,2/9/2016,Violations were cited in the following area(s).,10F,Not Critical,12,A,2/9/2016,4/25/2016,Cycle Inspection / Initial Inspection
40510827,TAJIN RESTAURANT,MANHATTAN,85,GREENWICH STREET,10006,2125095017,Mexican,1/6/2016,Violations were cited in the following area(s).,10F,Not Critical,10,A,1/6/2016,4/25/2016,Cycle Inspection / Initial Inspection
41570575,CAFE 37,MANHATTAN,47,WEST   37 STREET,10018,2123911523,Delicatessen,2/22/2016,Violations were cited in the following area(s).,10F,Not Critical,9,A,2/22/2016,4/25/2016,Cycle Inspection / Initial Inspection
40666541,AYURVEDA CAFE,MANHATTAN,706,AMSTERDAM AVENUE,10025,2129322400,Indian,4/11/2016,Violations were cited in the following area(s).,02B,Critical,7,A,4/11/2016,4/25/2016,Cycle Inspection / Initial Inspection
41187602,INDIGO INDIAN BISTRO,MANHATTAN,283,COLUMBUS AVENUE,10023,2125793900,Indian,4/18/2016,Violations were cited in the following area(s).,10F,Not Critical,17,Z,4/18/2016,4/25/2016,Cycle Inspection / Re-inspection
41458571,WESTVILLE,MANHATTAN,246,WEST   18 STREET,10011,2129242201,American,4/13/2016,Violations were cited in the following area(s).,10B,Not Critical,17,Z,4/13/2016,4/25/2016,Cycle Inspection / Re-inspection
50036304,NANOOSH,MANHATTAN,469,7TH AVE,10018,2123900563,Mediterranean,3/24/2016,Violations were cited in the following area(s).,10F,Not Critical,9,A,3/24/2016,4/25/2016,Cycle Inspection / Re-inspection
41444879,GRAND BO KY RESTAURANT,MANHATTAN,214216,GRAND STREET,10013,2122199228,Chinese,1/20/2016,Violations were cited in the following area(s).,04L,Critical,21,B,1/20/2016,4/25/2016,Cycle Inspection / Re-inspection
40573141,PEPE ROSSO TO GO,MANHATTAN,149,SULLIVAN STREET,10012,2126774555,Italian,1/11/2016,Violations were cited in the following area(s).,06D,Critical,12,A,1/11/2016,4/25/2016,Cycle Inspection / Initial Inspection
41053236,DIZZY'S CLUB COCA-COLA (ENTRANCE at 20 W60 St-Stage Door),MANHATTAN,10,COLUMBUS CIRCLE,10019,2122589585,American,3/2/2016,Violations were cited in the following area(s).,04N,Critical,10,A,3/2/2016,4/25/2016,Cycle Inspection / Re-inspection
50001761,GOOD CENTURY CAFE,MANHATTAN,243,GRAND STREET,10002,2123341313,Chinese,1/5/2016,Violations were cited in the following area(s).,09C,Not Critical,11,A,1/5/2016,4/25/2016,Cycle Inspection / Initial Inspection
41716904,HIGHLINE PIZZERIA,MANHATTAN,503,WEST   28 STREET,10001,2125643330,Pizza,3/7/2016,Violations were cited in the following area(s).,04H,Critical,9,A,3/7/2016,4/25/2016,Cycle Inspection / Re-inspection
50043005,TOSSED / RED MANGO,MANHATTAN,1400,BROADWAY,10018,9172000200,American,3/7/2016,Violations were cited in the following area(s).,10F,Not Critical,12,A,3/7/2016,4/25/2016,Cycle Inspection / Initial Inspection
40668120,MCDONALD'S,MANHATTAN,208,VARICK STREET,10014,2122069991,Hamburgers,3/7/2016,Violations were cited in the following area(s).,10F,Not Critical,5,A,3/7/2016,4/25/2016,Cycle Inspection / Initial Inspection
50012158,MEZZROW,MANHATTAN,163,W 10TH ST,10014,6464764346,American,2/10/2016,Violations were cited in the following area(s).,06D,Critical,10,A,2/10/2016,4/25/2016,Cycle Inspection / Initial Inspection
41463394,HEARTLAND BREWERY,MANHATTAN,625,8 AVENUE,10018,6462141000,American,3/17/2016,Violations were cited in the following area(s).,02G,Critical,12,A,3/17/2016,4/25/2016,Cycle Inspection / Initial Inspection
41345732,JOE: THE ART OF COFFEE,MANHATTAN,405,WEST   23 STREET,10011,2122060669,Caf̩/Coffee/Tea,2/3/2016,Violations were cited in the following area(s).,02G,Critical,40,C,2/3/2016,4/25/2016,Cycle Inspection / Re-inspection
50033595,BLACK TAP,MANHATTAN,529,BROOME ST,10013,9176393089,American,2/10/2016,Violations were cited in the following area(s).,10F,Not Critical,11,A,2/10/2016,4/25/2016,Cycle Inspection / Re-inspection
40396622,MEDITERRANEO,MANHATTAN,1260,2 AVENUE,10065,2127347407,Italian,2/3/2016,Violations were cited in the following area(s).,08A,Not Critical,10,A,2/3/2016,4/25/2016,Cycle Inspection / Re-inspection
50044804,CHEF 28,MANHATTAN,29,E 28TH ST,10016,2126851525,Chinese/Japanese,2/29/2016,Violations were cited in the following area(s).,04L,Critical,30,C,2/29/2016,4/25/2016,Pre-permit (Operational) / Re-inspection
40800557,MCDONALD'S,MANHATTAN,160,BROADWAY,10038,2123852063,Hamburgers,2/26/2016,Violations were cited in the following area(s).,06D,Critical,8,A,2/26/2016,4/25/2016,Cycle Inspection / Initial Inspection
41704745,SUBWAY,MANHATTAN,3419,BROADWAY,10031,6465481210,Sandwiches,3/15/2016,Violations were cited in the following area(s).,02G,Critical,9,A,3/15/2016,4/25/2016,Cycle Inspection / Initial Inspection
50012834,CRIMSON & RYE,MANHATTAN,198,E 54TH ST,10022,2126876692,American,4/22/2016,Violations were cited in the following area(s).,10B,Not Critical,7,A,4/22/2016,4/25/2016,Cycle Inspection / Initial Inspection
41714830,DE MARCO COFFEE,MANHATTAN,569,LEXINGTON AVENUE,10022,2127029136,Caf̩/Coffee/Tea,1/20/2016,Violations were cited in the following area(s).,06E,Critical,13,A,1/20/2016,4/25/2016,Cycle Inspection / Initial Inspection
40803438,GRINI'S GRILL & RESTAURANT,MANHATTAN,100,WEST  143 STREET,10030,2126946274,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/5/2016,Violations were cited in the following area(s).,02H,Critical,10,A,1/5/2016,4/25/2016,Cycle Inspection / Re-inspection
50018004,BUS STOP DINER,MANHATTAN,3341,BROADWAY,10031,2126902150,American,2/11/2016,Violations were cited in the following area(s).,10E,Not Critical,9,A,2/11/2016,4/25/2016,Cycle Inspection / Initial Inspection
40598699,BIG ALS CHICAGO PIZZA,MANHATTAN,9,THAMES STREET,10006,2129643269,Pizza,3/24/2016,Violations were cited in the following area(s).,06D,Critical,13,A,3/24/2016,4/25/2016,Cycle Inspection / Initial Inspection
50039306,BULL & BEAR,MANHATTAN,301,PARK AVE,10022,2123553000,American,2/24/2016,Violations were cited in the following area(s).,06F,Critical,13,A,2/24/2016,4/25/2016,Pre-permit (Operational) / Re-inspection
41491093,HAAGEN-DAZS,MANHATTAN,55,EAST    8 STREET,10003,2127772477,"Ice Cream, Gelato, Yogurt, Ices",4/20/2016,Violations were cited in the following area(s).,06D,Critical,10,A,4/20/2016,4/25/2016,Cycle Inspection / Initial Inspection
41540906,AI FIORI,MANHATTAN,400,5 AVENUE,10018,2126138660,Italian,3/22/2016,Violations were cited in the following area(s).,06C,Critical,8,A,3/22/2016,4/25/2016,Cycle Inspection / Initial Inspection
50046099,FUEL GRILL AND JUICE BAR,MANHATTAN,379,3RD AVE,10016,2126842221,"Juice, Smoothies, Fruit Salads",4/18/2016,Violations were cited in the following area(s).,10A,Not Critical,21,Z,4/18/2016,4/25/2016,Pre-permit (Operational) / Re-inspection
41370362,HOUNDSTOOTH PUB,MANHATTAN,520,8 AVENUE,10018,2126430034,American,1/19/2016,Violations were cited in the following area(s).,10F,Not Critical,8,A,1/19/2016,4/25/2016,Cycle Inspection / Initial Inspection
41313460,DUNKIN' DONUTS,MANHATTAN,175,VARICK STREET,10014,2129247060,Donuts,4/7/2016,Violations were cited in the following area(s).,10B,Not Critical,11,A,4/7/2016,4/25/2016,Cycle Inspection / Initial Inspection
41489173,NEW GREAT BAKERY,MANHATTAN,303,GRAND STREET,10002,2129663318,Bakery,4/19/2016,Violations were cited in the following area(s).,06E,Critical,22,Z,4/19/2016,4/25/2016,Cycle Inspection / Re-inspection
41139608,MOTT CORNER,MANHATTAN,58,KENMARE STREET,10012,2124311192,American,4/15/2016,Violations were cited in the following area(s).,10F,Not Critical,2,A,4/15/2016,4/25/2016,Cycle Inspection / Initial Inspection
50037042,COCO,MANHATTAN,1384,BROADWAY,10018,2123322525,"Juice, Smoothies, Fruit Salads",1/8/2016,Violations were cited in the following area(s).,06C,Critical,8,A,1/8/2016,4/25/2016,Cycle Inspection / Initial Inspection
50001317,D'LILI BAKERY,MANHATTAN,526,W 207TH ST,10034,2123040356,Bakery,3/10/2016,Violations were cited in the following area(s).,10B,Not Critical,13,A,3/10/2016,4/25/2016,Cycle Inspection / Initial Inspection
41680592,SPICY VILLAGE,MANHATTAN,68,FORSYTH STREET,10002,2126258299,Chinese,3/30/2016,Violations were cited in the following area(s).,06D,Critical,10,A,3/30/2016,4/25/2016,Cycle Inspection / Initial Inspection
40843285,TOUS LES JOURS,MANHATTAN,31,WEST   32 STREET,10001,2129679661,Bakery,1/20/2016,Violations were cited in the following area(s).,02G,Critical,24,B,1/20/2016,4/25/2016,Cycle Inspection / Re-inspection
41549391,NEW YORK SAL'S PIZZERIA,MANHATTAN,696,10 AVENUE,10019,2122473628,Pizza,1/7/2016,Violations were cited in the following area(s).,10E,Not Critical,2,A,1/7/2016,4/25/2016,Cycle Inspection / Initial Inspection
41249167,UNCLE CHARLIE,MANHATTAN,139,EAST 45 STREET,10017,6464769532,American,3/7/2016,Violations were cited in the following area(s).,08A,Not Critical,9,A,3/7/2016,4/25/2016,Cycle Inspection / Re-inspection
41699229,SAN MARZANO,MANHATTAN,117,2 AVENUE,10003,2127773600,American,2/16/2016,Violations were cited in the following area(s).,06D,Critical,11,A,2/16/2016,4/25/2016,Cycle Inspection / Re-inspection
41599313,THE MANCHESTER DINER,MANHATTAN,2800,BROADWAY,10025,2126657712,American,3/2/2016,Violations were cited in the following area(s).,06C,Critical,12,A,3/2/2016,4/25/2016,Cycle Inspection / Initial Inspection
50002009,Cascalote Latin Bistro,MANHATTAN,2126,2ND AVENUE,10029,9173280985,Mexican,1/29/2016,Violations were cited in the following area(s).,04C,Critical,12,A,1/29/2016,4/25/2016,Cycle Inspection / Initial Inspection
40370766,SMITH & WOLLENSKY,MANHATTAN,201,EAST   49 STREET,10017,2127531530,American,4/22/2016,Violations were cited in the following area(s).,06D,Critical,13,A,4/22/2016,4/25/2016,Cycle Inspection / Initial Inspection
50035691,UNCLE SAM'S,MANHATTAN,307,5TH AVE,10016,2122173938,Hamburgers,2/8/2016,Violations were cited in the following area(s).,08C,Not Critical,10,A,2/8/2016,4/25/2016,Cycle Inspection / Initial Inspection
