"Year","STARBUCKS","DUNKIN.DONUTS","PICCOLO.CAFE","THECOFFEE.BEAN.TEA.LEAF","GREGORYS.COFFEE","Average"
"2016",9.11627906976744,9.11111111111111,10.6666666666667,15.4444444444444,19.3333333333333,12.7343669250646
"2015",9.66666666666667,11.2360248447205,14,10.2857142857143,11.5333333333333,11.344347826087
"2014",16.2962962962963,11.28125,12.9285714285714,11.4,14.2142857142857,13.2240806878307
"2013",9.95833333333333,13.9885057471264,15.5,11,10,12.089367816092
"2012",8,12.4,18.2,21,13.7675,14.6735
