CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41292192,SULLIVAN BISTRO,MANHATTAN,169,SULLIVAN STREET,10012,2122286091,American,9/18/2012,Violations were cited in the following area(s).,10B,Not Critical,9,A,9/18/2012,4/25/2016,Cycle Inspection / Re-inspection
40526406,CLUB MACANUDO (CIGAR BAR),MANHATTAN,26,EAST   63 STREET,10065,2127528200,American,4/30/2012,Violations were cited in the following area(s).,10J,Not Critical,11,A,4/30/2012,4/25/2016,Cycle Inspection / Re-inspection
41561025,CIRCLE LINE XII,MANHATTAN,0,WEST 42 STREET,10036,9172843261,American,6/11/2012,Violations were cited in the following area(s).,10F,Not Critical,9,A,6/11/2012,4/25/2016,Cycle Inspection / Initial Inspection
41505165,WINE BAR & RISTORANTE,MANHATTAN,1742,2 AVENUE,10128,2124271010,Italian,11/28/2012,Violations were cited in the following area(s).,10F,Not Critical,23,B,11/28/2012,4/25/2016,Cycle Inspection / Re-inspection
40559606,THAI SON,MANHATTAN,89,BAXTER STREET,10013,2127322822,Vietnamese/Cambodian/Malaysia,10/17/2012,Violations were cited in the following area(s).,10D,Not Critical,4,A,10/17/2012,4/25/2016,Cycle Inspection / Re-inspection
41014902,MAS (farmhouse),MANHATTAN,39,DOWNING STREET,10014,2122551790,American,6/12/2012,Violations were cited in the following area(s).,10F,Not Critical,6,A,6/12/2012,4/25/2016,Cycle Inspection / Initial Inspection
41577958,CITY CAKES,MANHATTAN,251,WEST   18 STREET,10011,6466882286,Bakery,10/18/2012,Violations were cited in the following area(s).,10B,Not Critical,4,A,10/18/2012,4/25/2016,Cycle Inspection / Re-inspection
41134842,COMMON GROUND,MANHATTAN,206,AVENUE A,10009,2122286231,American,7/24/2012,Violations were cited in the following area(s).,10B,Not Critical,12,A,7/24/2012,4/25/2016,Cycle Inspection / Re-inspection
41372356,HILTON NEW YORK MAIN KITCHEN,MANHATTAN,1335,AVENUE OF THE AMERICAS,10019,2125867000,American,12/27/2012,Violations were cited in the following area(s).,10F,Not Critical,11,A,12/27/2012,4/25/2016,Cycle Inspection / Re-inspection
40811416,AU BON PAIN,MANHATTAN,60,BROAD STREET,10004,2126688873,Sandwiches/Salads/Mixed Buffet,11/30/2012,Violations were cited in the following area(s).,09C,Not Critical,10,A,11/30/2012,4/25/2016,Cycle Inspection / Initial Inspection
41560840,CIRCLE LINE XVI,MANHATTAN,0,WEST 42 STREET,10036,2125633200,American,6/11/2012,Violations were cited in the following area(s).,10B,Not Critical,9,A,6/11/2012,4/25/2016,Cycle Inspection / Initial Inspection
40611024,MADAME X,MANHATTAN,94,WEST HOUSTON STREET,10012,2125390808,American,9/25/2012,Violations were cited in the following area(s).,04H,Critical,20,B,9/25/2012,4/25/2016,Cycle Inspection / Re-inspection
